group,N_FVG,FVG_touch60,Control_touch60,Difference
NY AM,3648,0.8870614035087719,0.8878289473684211,-0.0007675438596491668
NY PM,4155,0.8965102286401926,0.8965102286401926,0.0
Asia,14117,0.9081957923071474,0.8997379046539633,0.008457887653184115
NY premarket,2577,0.9495537446643384,0.9414047341870392,0.008149010477299212
London,10762,0.9133060769373722,0.9066902062813603,0.00661587065601188
NY lunch,3323,0.8994884140836593,0.9008125188083057,-0.001324104724646391
Post-market,1418,0.9153737658674189,0.896755994358251,0.01861777150916788
