bars,FVG_mean_toward_ATR,Control_mean_toward_ATR
1,0.009523598422863103,-0.0017202164516068592
3,0.010374433880286136,-0.002425975771524004
5,0.010576820820079672,-0.0018075642975052774
10,0.015112218525660614,0.0035281798463373763
15,-0.0012105647779683327,0.006567804227646243
30,-0.05712935624562415,0.01947833925939627
60,-0.07002314444560621,0.026273008522409488
