timeframe_min,horizon_bars,N_matched,FVG_touch,Control_touch,Difference,CI_low,CI_high,p_day_boot
1,1,12000,0.4435,0.4189166666666666,0.0245833333333333,0.0162748212696348,0.0335954930637701,0.0
1,3,12000,0.6296666666666667,0.5953333333333334,0.0343333333333333,0.0255295731219906,0.044371826375341,0.0
1,5,12000,0.6990833333333333,0.6720555555555555,0.0270277777777778,0.018161444666601,0.035050262207537,0.0
1,10,12000,0.7805,0.7610555555555555,0.0194444444444444,0.0110448641780555,0.0277225514790978,0.0
1,20,12000,0.83925,0.8294444444444443,0.0098055555555555,0.0035860100013746,0.0172834000021362,0.0066666666666666
5,1,12000,0.43875,0.4222777777777777,0.0164722222222222,0.0081071118950132,0.0246342557280467,0.0
5,3,12000,0.6244166666666666,0.5996111111111111,0.0248055555555555,0.0159860535903499,0.0324815307737027,0.0
5,5,12000,0.6953333333333334,0.6736944444444444,0.0216388888888889,0.0127177784890871,0.028843673861255,0.0
5,10,12000,0.7754166666666666,0.7603333333333333,0.0150833333333333,0.0078965141481005,0.0221832520643916,0.0
5,20,12000,0.8405,0.8272777777777777,0.0132222222222222,0.0063250775015766,0.0216461521797965,0.0
15,1,12000,0.43625,0.4403333333333333,-0.0040833333333333,-0.0123989682007432,0.0035804576978732,0.2733333333333333
15,3,12000,0.6215833333333334,0.6139444444444445,0.0076388888888889,-0.0009110602977521,0.0156063360251037,0.1
15,5,12000,0.6955833333333333,0.6892777777777777,0.0063055555555555,-0.0024636103972952,0.0136626909676292,0.16
15,10,12000,0.7735833333333333,0.7708055555555556,0.0027777777777778,-0.0050929528092163,0.0104034849930157,0.5866666666666667
15,20,12000,0.8325833333333333,0.8362222222222222,-0.0036388888888888,-0.0103406867949637,0.0033157234358778,0.3333333333333333
60,1,7954,0.4211717374905708,0.4190344480764395,0.0021372894141312,-0.0074197210921614,0.0130459176670913,0.7
60,3,7954,0.5989439275836057,0.5891794484955158,0.0097644790880898,-0.0017874753306429,0.0209670285501972,0.12
60,5,7954,0.6762635152124717,0.6702288156902187,0.0060346995222529,-0.0052845968492483,0.0172835842288437,0.3266666666666666
60,10,7954,0.7597435252703042,0.7570195289581761,0.002723996312128,-0.0070048106375761,0.0121989453179291,0.6066666666666667
60,20,7954,0.8368116670857431,0.8397452015757272,-0.002933534489984,-0.0128358131622235,0.0077799271756812,0.6133333333333333
240,1,2281,0.3713283647523016,0.4192605582346923,-0.0479321934823907,-0.0669417935719722,-0.0286719871802007,0.0
240,3,2281,0.569487067075844,0.5969603974864824,-0.0274733304106385,-0.0495647539366184,-0.0071244624908236,0.0
240,5,2281,0.6891714160455941,0.7004237907350577,-0.0112523746894636,-0.033953080507879,0.008918526663481,0.34
240,10,2281,0.757562472599737,0.7819669735496126,-0.0244045009498757,-0.0444150956985181,-0.0026237566108875,0.0333333333333333
240,20,2281,0.8303375712406839,0.8462662574894052,-0.0159286862487213,-0.0356692487738594,0.0042858754848428,0.0933333333333333
