timeframe,N,wins,definite_losses,ambiguous,ambiguous_rate,win_rate_conservative,win_rate_optimistic,win_rate_unambiguous,mean_R_conservative,mean_R_optimistic,mean_R_unambiguous,avg_naive_breakeven_wr,median_RR,median_width_ticks,median_exit_min
ALL,24911,8314,7363,9234,0.370679619445225,0.3337481433904701,0.7044277628356951,0.5303310582381833,-0.3341721070930507,0.4078844022512133,0.058011012324106374,0.5008981506316029,1.0,12.0,1.0
>=1H,390,182,191,17,0.04358974358974359,0.4666666666666667,0.5102564102564102,0.4879356568364611,-0.07290125603555894,0.01645858556942789,-0.030647425881683607,0.5021761191001458,1.0,132.0,9.0
1H,157,70,76,11,0.07006369426751592,0.445859872611465,0.5159235668789809,0.4794520547945205,-0.10827887786329594,0.036484541141411926,-0.04109440975710594,0.49817087712046076,1.0,77.0,3.0
2H,91,42,47,2,0.02197802197802198,0.46153846153846156,0.4835164835164835,0.47191011235955055,-0.09802610949044648,-0.05563992424711841,-0.07775703329922061,0.50771033383968,0.9485294117647058,124.0,10.0
4H,42,23,17,2,0.047619047619047616,0.5476190476190477,0.5952380952380952,0.575,0.078657844730602,0.17855432506186494,0.1325907369671321,0.5098353472526053,0.924234693877551,174.5,16.5
8H,30,18,11,1,0.03333333333333333,0.6,0.6333333333333333,0.6206896551724138,0.2079969878007014,0.27222463007712416,0.2496520563455531,0.5005317160030498,1.016135734072022,298.0,11.0
