group,N_FVG,FVG_touch60,Control_touch60,Difference
.75-1,5408,0.8666789940828402,0.8640162721893491,0.002662721893491149
<.25,9294,0.9763288142887885,0.976630083925113,-0.000301269636324486
1-1.5,4676,0.8173652694610778,0.8072711719418306,0.01009409751924717
1.5-2,1264,0.7539556962025317,0.7381329113924051,0.015822784810126556
.5-.75,8250,0.9082424242424243,0.8994909090909091,0.008751515151515177
.25-.5,10531,0.9444497198746558,0.9385433482100465,0.005906371664609278
2-3,489,0.6666666666666666,0.6445807770961145,0.02208588957055213
3+,88,0.5,0.42272727272727273,0.07727272727272727
