timeframe_min,bars,FVG_count,matched_FVG,control_zones,median_width_ATR,median_distance_ATR
1,2303483,454503,12000,36000,0.3027027027027027,0.5035971223021583
5,460888,87816,12000,36000,0.2769659643205317,0.4905982905982906
15,153675,30387,12000,36000,0.2717331875341717,0.4605263157894737
60,38533,7954,7954,23862,0.2604588719101524,0.4401415259882109
240,10298,2281,2281,6843,0.2910909330175023,0.4371963913948647
