timeframe_min,N_FVG_total,N_matched,N_resolved_paired,FVG_midpoint_reject_rate,Control_midpoint_reject_rate,Difference,CI_low,CI_high,p_day_boot,FVG_ambiguous_rate,Control_ambiguous_rate,Control_midpoint_touched_20bars,FVG_midpoint_touched_20bars
1,454489,12000,5029,0.5215748657784848,0.5123616358454298,0.0092132299330549,-0.00616063983673,0.026419061995965,0.332,0.3065833333333333,0.2844722222222222,0.7746944444444445,0.7875833333333333
5,87816,12000,4693,0.543149371404219,0.5186803039988637,0.0244690674053555,0.0071587386350416,0.0435925458830068,0.0,0.327,0.311581520682279,0.7751201489012973,0.7866666666666666
15,30386,12000,4676,0.5417023096663816,0.5152908468776732,0.0264114627887083,0.0063278441589183,0.0457456058868474,0.0,0.3221666666666666,0.3033333333333333,0.7735,0.7805
60,7953,7953,3163,0.5222889661713563,0.5186531773632628,0.0036357888080935,-0.0182106049361799,0.0253412907063462,0.708,0.3183704262542436,0.324154407141959,0.7939561591013873,0.7829749779957249
240,2280,2280,926,0.521598272138229,0.4776817854571634,0.0439164866810655,0.0026488231075177,0.0842899900288758,0.032,0.3135964912280701,0.3135964912280701,0.7928362573099416,0.7741228070175439
